embedder;embedder_conf;sim;sim_conf;corr_20ng;corr_genomics;corr_nyt;pvalue_20ng;pvalue_genomics;pvalue_nyt;bootstrap_20ng;bootstrap_genomics;bootstrap_nyt;corr_mean;pvalue_mean;bootstrap_mean
ClasicMetric;{'model_path': 'c_npmi', 'sim_f_name': 'wiki'};;;0.780717;0.637066;0.804028;0.000000;0.000000;0.000000;0.183295;0.233949;0.158297;0.740604;0.000000;0.191847
ClasicMetric;{'model_path': 'c_v', 'sim_f_name': 'wiki'};;;0.767377;0.617182;0.804340;0.000000;0.000000;0.000000;0.208274;0.227056;0.142407;0.729633;0.000000;0.192579
ClasicMetric;{'model_path': 'c_uci', 'sim_f_name': 'wiki'};;;0.756042;0.616744;0.784650;0.000000;0.000000;0.000000;0.193939;0.239647;0.170931;0.719145;0.000000;0.201505
ClasicMetric;{'model_path': 'c_npmi', 'sim_f_name': 'same'};;;0.473729;0.485057;0.800007;0.000001;0.000000;0.000000;0.363886;0.302042;0.170710;0.586265;0.000000;0.278879
ClasicMetric;{'model_path': 'c_uci', 'sim_f_name': 'same'};;;0.487229;0.466146;0.768002;0.000000;0.000001;0.000000;0.374569;0.272070;0.201442;0.573792;0.000000;0.282694
ClasicMetric;{'model_path': 'u_mass', 'sim_f_name': 'wiki'};;;0.684418;0.436251;0.524808;0.000000;0.000006;0.000000;0.245712;0.318010;0.266618;0.548493;0.000002;0.276780
ClasicMetric;{'model_path': 'c_v', 'sim_f_name': 'same'};;;0.502051;0.475857;0.641271;0.000000;0.000001;0.000000;0.352338;0.291263;0.263560;0.539726;0.000000;0.302387
ClasicMetric;{'model_path': 'u_mass', 'sim_f_name': 'same'};;;0.544746;0.409761;0.657168;0.000000;0.000023;0.000000;0.326149;0.309938;0.248020;0.537225;0.000008;0.294703
